auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,brier,ece,nll,threshold,n_samples,model_name,modality,calibration_method
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,breath,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.2189931230586287,0.002134143495228724,0.6297842529063705,0.5,636.0,dummy_most_frequent,cough,platt
0.5,0.3238993710691824,0.5,0.0,0.0,1.0,0.21899312305862875,0.0021341434952286686,0.6297842529063705,0.5,1590.0,dummy_most_frequent,speech,platt
0.47945360126439385,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491041,0.6300038918837314,0.5,636.0,dummy_stratified,breath,platt
0.47945360126439385,0.3156724058308153,0.5,0.0,0.0,1.0,0.2190891214414371,0.002057170176491041,0.6300038918837314,0.5,636.0,dummy_stratified,cough,platt
0.5145947166403251,0.3306832753251511,0.5,0.0,0.0,1.0,0.21887695148289837,0.0020360550710732395,0.629519106966024,0.5,1590.0,dummy_stratified,speech,platt
0.7623391284714381,0.5755500072559496,0.5588620456084895,0.24193548387096775,0.14563106796116504,0.9720930232558139,0.1856708912426489,0.0654009244405846,0.5509718803238293,0.5,636.0,logistic_regression,breath,platt
0.7963422894558592,0.6715989816286063,0.6618198238880109,0.5125,0.39805825242718446,0.9255813953488372,0.1711690945777095,0.10017300788728521,0.5222270499015272,0.5,636.0,logistic_regression,cough,platt
0.7479620681869497,0.6020342762851154,0.6469767441860466,0.4934131736526946,0.4,0.893953488372093,0.18380297909269158,0.051577635802998706,0.547997997805202,0.5,1590.0,logistic_regression,speech,platt
0.7970365771054415,0.674904822278262,0.6614134116053285,0.5064935064935064,0.3786407766990291,0.9441860465116279,0.1709434944237457,0.08791028664162757,0.5216874297293798,0.5,636.0,random_forest,breath,platt
0.8043576428087604,0.7169128559943263,0.6574170241589523,0.49324324324324326,0.35436893203883496,0.9604651162790697,0.16837327780133804,0.08985970286455827,0.5162536232624119,0.5,636.0,random_forest,cough,platt
0.7564732445247234,0.6171794922297267,0.6518491758862046,0.49627791563275436,0.3883495145631068,0.9153488372093024,0.17872830053291638,0.04788984661107496,0.5383071137032497,0.5,1590.0,random_forest,speech,platt
