epoch,train_loss,validation_loss
1,0.939907075223085,0.9254212379455566
2,0.9231480709604315,0.9050402045249939
3,0.914606676874934,0.9946675300598145
4,0.9011681192630047,0.9637245535850525
5,0.8932239252570513,0.8786020278930664
6,0.8870457510287697,0.8553101420402527
7,0.8835574083634326,0.8984745144844055
8,0.8806093953348495,0.9777864813804626
9,0.8756690991488663,0.8466153740882874
10,0.8563005369660016,0.8706935048103333
11,0.8645174259672294,0.8524207472801208
12,0.8646583911937636,0.8308129906654358
13,0.8513758187761178,0.8344361186027527
14,0.8520036441651551,0.818314790725708
15,0.8380879191933451,0.9593483805656433
16,0.8431444034785838,0.8467819690704346
17,0.8363305394713944,0.8241875767707825
18,0.8500037217462385,0.8616612553596497
19,0.8419695700745324,0.8465868830680847
20,0.8441327153025446,0.8273746967315674
21,0.8371966309241347,0.8257286548614502
22,0.8303804060091844,0.958574652671814
