metric,point,mean,ci_low,ci_high,confidence,n_bootstraps,n_samples,model_name,feature_strategy
auroc,0.5263009624483779,0.525992922770695,0.4891748503012043,0.5588050305946982,0.95,1000,8331,catboost,all
auprc,0.039278401713305114,0.04044405990780356,0.0328573182248824,0.04943418913132142,0.95,1000,8331,catboost,all
brier,0.10405235440582637,0.10411309419287626,0.10143876432388226,0.10704317048579604,0.95,1000,8331,catboost,all
ece,0.23104737664476427,0.23113017272208178,0.22633832730280143,0.23582447169120388,0.95,1000,8331,catboost,all
auroc,0.5139269376523585,0.5138560018381526,0.4762387744157261,0.5483170141688772,0.95,1000,8331,catboost,drop_high_shift
auprc,0.04093888530331618,0.04286852923925541,0.0331841268609558,0.05647607090920883,0.95,1000,8331,catboost,drop_high_shift
brier,0.1185467819627851,0.11858645466277258,0.11596892361415756,0.12117884553414905,0.95,1000,8331,catboost,drop_high_shift
ece,0.2626305115440639,0.26268534716860004,0.2578112925085795,0.26729862901269497,0.95,1000,8331,catboost,drop_high_shift
auroc,0.4876988020635731,0.48681100571880387,0.4551409080762614,0.5178719062965421,0.95,1000,8331,catboost,top_stable_120
auprc,0.044400181147651874,0.045227767052122544,0.032105225165992804,0.06133753321413717,0.95,1000,8331,catboost,top_stable_120
brier,0.11738031820683577,0.1174185670974015,0.11537678544200762,0.11950736771469493,0.95,1000,8331,catboost,top_stable_120
ece,0.2707597761345658,0.27078544892376544,0.26626018964618287,0.27507539351198274,0.95,1000,8331,catboost,top_stable_120
auroc,0.4860743706145802,0.4859666360897411,0.4478184226898367,0.5233548571254086,0.95,1000,8331,catboost,top_stable_50
auprc,0.03691969787051844,0.03811293081400427,0.03089756976816118,0.04781073107494667,0.95,1000,8331,catboost,top_stable_50
brier,0.12108954265364225,0.12111982288338755,0.11933062229615465,0.12303302090371081,0.95,1000,8331,catboost,top_stable_50
ece,0.28615524183842833,0.2861799115725198,0.28187924923393165,0.2901908518688896,0.95,1000,8331,catboost,top_stable_50
auroc,0.488048109336229,0.4874308266725299,0.45379386999606985,0.5212226082017518,0.95,1000,8331,catboost,top_stable_80
auprc,0.04224022184978921,0.043026451986459026,0.03123646449595468,0.05806962755893668,0.95,1000,8331,catboost,top_stable_80
brier,0.1160096935178457,0.11603838613680374,0.11392297727862723,0.11809680373496617,0.95,1000,8331,catboost,top_stable_80
ece,0.26802108145103387,0.2680392886467607,0.2635344867080485,0.27256400176408874,0.95,1000,8331,catboost,top_stable_80
auroc,0.5182298276140264,0.5179431230956508,0.4793788727639855,0.5529421907583749,0.95,1000,8331,lightgbm,all
auprc,0.03858922190051838,0.03951817975980199,0.03214476135386613,0.048246842009562835,0.95,1000,8331,lightgbm,all
brier,0.09897131202266989,0.0990283183094285,0.09593219212549128,0.10228656095283813,0.95,1000,8331,lightgbm,all
ece,0.21503645166512889,0.21511262345917906,0.21016068938742744,0.2196830330871051,0.95,1000,8331,lightgbm,all
auroc,0.5157044363331894,0.5156759860863012,0.47955870704944104,0.5510459219224652,0.95,1000,8331,lightgbm,drop_high_shift
auprc,0.038170068071540476,0.03918075208072669,0.03238318226127828,0.047251063823704205,0.95,1000,8331,lightgbm,drop_high_shift
brier,0.1162659414189607,0.11632809232010229,0.11344356823446901,0.1190662195511552,0.95,1000,8331,lightgbm,drop_high_shift
ece,0.2555687426219727,0.2556452151371061,0.2508591345453568,0.26025970454226927,0.95,1000,8331,lightgbm,drop_high_shift
auroc,0.49578738045710846,0.4951770033002294,0.4616069830538018,0.5272151964870172,0.95,1000,8331,lightgbm,top_stable_120
auprc,0.042065939230411534,0.04331842280202698,0.031574111615566405,0.05906193517457813,0.95,1000,8331,lightgbm,top_stable_120
brier,0.11498939038233005,0.11502125097000802,0.11280832400601537,0.11726972517931275,0.95,1000,8331,lightgbm,top_stable_120
ece,0.2657390937014322,0.2657503803119739,0.26134551148817636,0.2701143821601261,0.95,1000,8331,lightgbm,top_stable_120
auroc,0.4976651796032462,0.4972932129241607,0.4604075599133768,0.5339479871296628,0.95,1000,8331,lightgbm,top_stable_50
auprc,0.040303452765261705,0.04118269911724929,0.03198162457746093,0.05340297262012954,0.95,1000,8331,lightgbm,top_stable_50
brier,0.1187456078627908,0.11877327392252778,0.11690811357178944,0.12083359427509975,0.95,1000,8331,lightgbm,top_stable_50
ece,0.2803437584066432,0.28041441398726136,0.2762029037099071,0.2845588299924485,0.95,1000,8331,lightgbm,top_stable_50
auroc,0.4949854128236325,0.49451140477462047,0.45860923081849486,0.5274451579733759,0.95,1000,8331,lightgbm,top_stable_80
auprc,0.0414076926681148,0.042839107387135165,0.03173778478944717,0.05831180802964697,0.95,1000,8331,lightgbm,top_stable_80
brier,0.11350473447207847,0.11353349903302817,0.11130267359275949,0.11580791186889611,0.95,1000,8331,lightgbm,top_stable_80
ece,0.2629747577605771,0.26299390864033817,0.25843062828909,0.2674000436731473,0.95,1000,8331,lightgbm,top_stable_80
auroc,0.5098656409853867,0.5098207176576988,0.47183927524092384,0.5463120370999738,0.95,1000,8331,logistic_regression,all
auprc,0.037953942801198945,0.03895012154934493,0.03196426777766651,0.04717777139747003,0.95,1000,8331,logistic_regression,all
brier,0.08454845393574145,0.08457035663816129,0.08225564549099434,0.08716126548899257,0.95,1000,8331,logistic_regression,all
ece,0.2022324128991048,0.20225110843898905,0.1979934864287359,0.20662154047788348,0.95,1000,8331,logistic_regression,all
auroc,0.48276227481455314,0.48311469456558437,0.44525239970003105,0.5214824899261272,0.95,1000,8331,logistic_regression,drop_high_shift
auprc,0.03566430591249229,0.03667808433156453,0.030143494304990658,0.04442762756554682,0.95,1000,8331,logistic_regression,drop_high_shift
brier,0.118836814479952,0.11884353894723208,0.11663682369506329,0.12104746331546466,0.95,1000,8331,logistic_regression,drop_high_shift
ece,0.2710336683370878,0.2710455468951267,0.2664226679484697,0.27573074470299935,0.95,1000,8331,logistic_regression,drop_high_shift
auroc,0.515641203431148,0.5154028311389895,0.4826329028593992,0.5471689382881784,0.95,1000,8331,logistic_regression,top_stable_120
auprc,0.03708432663911589,0.03813033296884062,0.0315148985334725,0.04638536509546923,0.95,1000,8331,logistic_regression,top_stable_120
brier,0.11048176969619414,0.11049234200383609,0.10831545576399605,0.11275091086393209,0.95,1000,8331,logistic_regression,top_stable_120
ece,0.2580396562297406,0.2580362598814808,0.2534649806063691,0.262356968261803,0.95,1000,8331,logistic_regression,top_stable_120
auroc,0.534794231414978,0.533889005908556,0.4996879597910206,0.5682969945314074,0.95,1000,8331,logistic_regression,top_stable_50
auprc,0.04217596348257965,0.04344185722047314,0.03497137410763963,0.05427619218458791,0.95,1000,8331,logistic_regression,top_stable_50
brier,0.11509225252725758,0.11511101236328088,0.11367216160055743,0.11657903110354875,0.95,1000,8331,logistic_regression,top_stable_50
ece,0.28451189703495494,0.2845130384482155,0.280552560901043,0.28822971284562465,0.95,1000,8331,logistic_regression,top_stable_50
auroc,0.5184517969046405,0.5179223487547793,0.4844957430639366,0.5514850766037789,0.95,1000,8331,logistic_regression,top_stable_80
auprc,0.038637814708877664,0.04017004106856973,0.03241751307548203,0.051533036821398405,0.95,1000,8331,logistic_regression,top_stable_80
brier,0.11091501201052462,0.11093082682098884,0.10899301821573516,0.1130927992082447,0.95,1000,8331,logistic_regression,top_stable_80
ece,0.2613305537382811,0.2613393792413963,0.25666182284174827,0.2655009778186234,0.95,1000,8331,logistic_regression,top_stable_80
auroc,0.5239661420516242,0.5235365406637855,0.4871358665381607,0.55943491572302,0.95,1000,8331,random_forest,all
auprc,0.03945242298860676,0.0413325727101375,0.032940158857254154,0.053481207938498546,0.95,1000,8331,random_forest,all
brier,0.10203956224734191,0.10207354101194974,0.10010950175427973,0.10411294477245768,0.95,1000,8331,random_forest,all
ece,0.2506751959451328,0.25070902518427257,0.24658776417987285,0.25469057705049736,0.95,1000,8331,random_forest,all
auroc,0.5185512251919882,0.5184181757260083,0.48280101463886793,0.5523508160212186,0.95,1000,8331,random_forest,drop_high_shift
auprc,0.036993618784395915,0.038426728026533886,0.031393303721571245,0.04715401930651553,0.95,1000,8331,random_forest,drop_high_shift
brier,0.11201089681286787,0.1120432286434541,0.11021530600226645,0.1140272165629044,0.95,1000,8331,random_forest,drop_high_shift
ece,0.2694194626638824,0.2694576060119008,0.26519991468672915,0.2733937423831631,0.95,1000,8331,random_forest,drop_high_shift
auroc,0.48886315963909277,0.48778552034387235,0.45537781032688196,0.5200589328774843,0.95,1000,8331,random_forest,top_stable_120
auprc,0.03378311668884447,0.03462113186982553,0.028716739386442158,0.04178768086489577,0.95,1000,8331,random_forest,top_stable_120
brier,0.11182417973952793,0.11186018128188005,0.11022381387587685,0.11355552936600778,0.95,1000,8331,random_forest,top_stable_120
ece,0.273723947789373,0.2737405815485272,0.26958112890208286,0.2775440489811049,0.95,1000,8331,random_forest,top_stable_120
auroc,0.4977615552677368,0.4970907994101652,0.4633139212200642,0.5329074812205166,0.95,1000,8331,random_forest,top_stable_50
auprc,0.035881282110951214,0.036687556114260396,0.030583455689352924,0.0445784472209941,0.95,1000,8331,random_forest,top_stable_50
brier,0.11680964632528505,0.11683790608672683,0.11519346891315584,0.11847505609379795,0.95,1000,8331,random_forest,top_stable_50
ece,0.28489517028356715,0.28490779781765074,0.28088847748586504,0.2886739226350616,0.95,1000,8331,random_forest,top_stable_50
auroc,0.4902948397591045,0.48891277143159523,0.45750664879156006,0.522086329433159,0.95,1000,8331,random_forest,top_stable_80
auprc,0.033511410804589664,0.034352431218823976,0.02873180241928744,0.04150357847209963,0.95,1000,8331,random_forest,top_stable_80
brier,0.11009245611628533,0.11013460460468698,0.1083392146848083,0.11189229621120304,0.95,1000,8331,random_forest,top_stable_80
ece,0.26946390986078717,0.2694843057732897,0.2652809567619372,0.2733411189223754,0.95,1000,8331,random_forest,top_stable_80
auroc,0.5081790668568015,0.5079383526925116,0.4713051313859999,0.5416226998137927,0.95,1000,8331,xgboost,all
auprc,0.03682626373285325,0.03794588721340048,0.03124345573887919,0.04657410937166142,0.95,1000,8331,xgboost,all
brier,0.10648698706201572,0.10654419151911543,0.10389893169950208,0.10942017026366974,0.95,1000,8331,xgboost,all
ece,0.2312039731620879,0.23127083718739394,0.2264051197531149,0.23603573616202017,0.95,1000,8331,xgboost,all
auroc,0.5000682479253067,0.49998602502701683,0.4637269241993033,0.5350864638245806,0.95,1000,8331,xgboost,drop_high_shift
auprc,0.03940096047115131,0.04004348019180436,0.030855144469592297,0.051675478260749745,0.95,1000,8331,xgboost,drop_high_shift
brier,0.11934484853753968,0.11938915721919097,0.11688188831081077,0.12190208211685107,0.95,1000,8331,xgboost,drop_high_shift
ece,0.2643597503525356,0.2644300866711268,0.259836314620029,0.2689308396758192,0.95,1000,8331,xgboost,drop_high_shift
auroc,0.4843077741582393,0.48340960212606077,0.4509886519323179,0.5146710700956166,0.95,1000,8331,xgboost,top_stable_120
auprc,0.04196070948573093,0.042696998026236714,0.030958700669844765,0.05757529115982671,0.95,1000,8331,xgboost,top_stable_120
brier,0.11602534652184539,0.11605888871781327,0.11394498672264283,0.11809013061477068,0.95,1000,8331,xgboost,top_stable_120
ece,0.26775225478536446,0.26776561566691537,0.26318729255733475,0.2721539403559421,0.95,1000,8331,xgboost,top_stable_120
auroc,0.4840587673508903,0.4834466660387685,0.4472643881748997,0.520241514042232,0.95,1000,8331,xgboost,top_stable_50
auprc,0.036119491886915385,0.03739400156097881,0.030442743189597617,0.04697806776715379,0.95,1000,8331,xgboost,top_stable_50
brier,0.1200360614450344,0.12007352717113023,0.11838292495371909,0.12189949275049668,0.95,1000,8331,xgboost,top_stable_50
ece,0.28637565284251526,0.28640009360813135,0.28223319405308794,0.29035953945730314,0.95,1000,8331,xgboost,top_stable_50
auroc,0.48012044777616425,0.47953991348944697,0.4456895093847015,0.5108477112821757,0.95,1000,8331,xgboost,top_stable_80
auprc,0.041862330124534636,0.042695077336574086,0.030959571949565067,0.0584684198107277,0.95,1000,8331,xgboost,top_stable_80
brier,0.11317246284038877,0.1132051014100775,0.11106742277724951,0.11530254728716774,0.95,1000,8331,xgboost,top_stable_80
ece,0.26357000609478526,0.26359278550870535,0.2589334472401131,0.2681050701530545,0.95,1000,8331,xgboost,top_stable_80
